node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,ps_rcv,0,3,3.685757547150503e-05
0,ps_rcv,1,3,6.130560975139976e-05
0,ps_rcv,2,3,8.784973744979663e-05
0,ps_rcv,3,3,3.6862193586229e-05
0,ps_rcv,4,3,4.666197907168823e-05
0,ps_rcv,5,3,1.8730571113623196e-05
0,ps_rcv,6,3,5.639465839379909e-05
0,ps_rcv,7,3,4.666813107070955e-05
0,ps_rcv,8,3,8.786495571233566e-05
0,ps_rcv,9,3,5.638132985280597e-05
0,ps_rcv,10,3,6.132337415196143e-05
0,ps_rcv,11,3,1.8745789376162225e-05
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,lp_pour,0,3,4.175042236465032e-05
0,lp_pour,1,3,5.0336304161208156e-05
0,lp_pour,2,3,7.60913126951479e-09
1,p_pour_z,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,ps_rcv,0,3,3.6797139034761006e-05
1,ps_rcv,1,3,6.13086716998168e-05
1,ps_rcv,2,3,8.782844516799782e-05
1,ps_rcv,3,3,3.6809248599944944e-05
1,ps_rcv,4,3,4.669902166401507e-05
1,ps_rcv,5,3,1.8727261171441745e-05
1,ps_rcv,6,3,5.632442237157864e-05
1,ps_rcv,7,3,4.671516789836461e-05
1,ps_rcv,8,3,8.782838399715165e-05
1,ps_rcv,9,3,5.628862811585256e-05
1,ps_rcv,10,3,6.135639781731927e-05
1,ps_rcv,11,3,1.8727179949717954e-05
1,gh_abs,0,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,3,4.1679988762588494e-05
1,lp_pour,1,3,5.036368826835669e-05
1,lp_pour,2,3,5.2538751127428895e-11
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,5,8.328469732504594e-05
2,dps_rcv,1,5,0.00010081890131587368
2,dps_rcv,2,5,0.00017565741847505551
2,dps_rcv,3,5,8.326699745886309e-05
2,dps_rcv,4,5,0.00010080385561529953
2,dps_rcv,5,5,3.745377038067585e-05
2,dps_rcv,6,5,8.327368723935188e-05
2,dps_rcv,7,5,0.0001007820323502522
2,dps_rcv,8,5,0.00017565741769623406
2,dps_rcv,9,5,8.330475822502793e-05
2,dps_rcv,10,5,0.00010078704966221412
2,dps_rcv,11,5,3.7453768240776484e-05
2,ps_rcv,0,4,5.6249149607223714e-05
2,ps_rcv,1,4,5.40677644142451e-05
2,ps_rcv,2,4,8.782904416124171e-05
2,ps_rcv,3,4,5.618078793689918e-05
2,ps_rcv,4,4,6.143499381283668e-05
2,ps_rcv,5,4,1.8726556483328327e-05
2,ps_rcv,6,4,4.6479417447509164e-05
2,ps_rcv,7,4,6.134384447564756e-05
2,ps_rcv,8,4,8.782905844642586e-05
2,ps_rcv,9,4,4.6456274678918774e-05
2,ps_rcv,10,4,5.409862158678447e-05
2,ps_rcv,11,4,1.8726612151215294e-05
2,gh_abs,0,1,0.0
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,1,0.0
2,a_trg,0,1,0.0
2,v_rcv,0,5,0.0002093182189270542
2,size_srcmouth,0,1,0.0
2,lp_pour,0,4,4.1598462715786155e-05
2,lp_pour,1,4,5.042914993466652e-05
2,lp_pour,2,4,6.861128332147359e-11
